rank,score,PAS,PDP,NMSE,NMSE_dB,variant,source_file,source_index,config
27,0.1803826918,0.2836356461,0.1164952144,8.8375101089,9.4632992358,knn,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/ablation_small.json,2,delay_taps=8; hybrid_power_latent_mse=810.3049926757812; knn_power_latent_mse=777.519775390625; phase_k=1; power_components=32
28,0.1796699823,0.2843558192,0.1159816682,9.2380409241,9.6557988182,val,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/ablation_energy_fixed_spatial.json,0,delay_taps=8; hybrid_power_latent_mse=777.519775390625; knn_power_latent_mse=777.519775390625; phase_k=1; power_components=32; residual_weight=0.0
29,0.1796699823,0.2843558192,0.1159816682,9.2380409241,9.6557988182,knn,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/ablation_energy_fixed_spatial.json,0,delay_taps=8; hybrid_power_latent_mse=777.519775390625; knn_power_latent_mse=777.519775390625; phase_k=1; power_components=32; residual_weight=0.0
30,0.1796699823,0.2843558192,0.1159816682,9.2380409241,9.6557988182,knn,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/ablation_energy_fixed_spatial.json,1,delay_taps=8; hybrid_power_latent_mse=775.7605590820312; knn_power_latent_mse=777.519775390625; phase_k=1; power_components=32; residual_weight=0.25
31,0.1796699823,0.2843558192,0.1159816682,9.2380409241,9.6557988182,knn,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/ablation_energy_fixed_spatial.json,2,delay_taps=8; hybrid_power_latent_mse=780.638427734375; knn_power_latent_mse=777.519775390625; phase_k=1; power_components=32; residual_weight=0.5
32,0.1796699823,0.2843558192,0.1159816682,9.2380409241,9.6557988182,knn,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/ablation_energy_fixed_spatial.json,3,delay_taps=8; hybrid_power_latent_mse=810.3049926757812; knn_power_latent_mse=777.519775390625; phase_k=1; power_components=32; residual_weight=1.0
33,0.1792184885,0.2792078555,0.1191263050,9.0579214096,9.5702854824,knn,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/ablation_small.json,5,delay_taps=16; hybrid_power_latent_mse=2003.705810546875; knn_power_latent_mse=1935.891845703125; phase_k=3; power_components=16
34,0.1791769984,0.2807152867,0.1164952070,8.8557119370,9.4722348115,knn,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/ablation_small.json,3,delay_taps=8; hybrid_power_latent_mse=810.3049926757812; knn_power_latent_mse=777.519775390625; phase_k=3; power_components=32
35,0.1781126531,0.3662816286,0.0777553469,400.7170410156,26.0283781177,val,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/pca_dimension_curve_delay_grouped.json,0,delay_taps=16; diag_pca_true_phase_nmse_db=-2.2054220709379404; diag_pred_true_phase_true_energy_nmse_db=-0.43798218682219664; diag_true_power_knn_phase_nmse_db=2.705349912735346; hybrid_power_latent_mse=206.90472412109375; knn_power_latent_mse=206.90472412109375; phase_k=1; power_components=192; power_pca_explained_variance_ratio_sum=0.9113115090696073; power_pca_mode=delay_grouped; power_target_mode=raw; residual_weight=0.0
36,0.1780903969,0.2763084769,0.1191263050,9.0419330597,9.5626128749,knn,/Users/yanrunhui/5th-Huawei-Cup-Communication-Algorithm-Competition-main/machine-learning/outputs/ablation_small.json,4,delay_taps=16; hybrid_power_latent_mse=2003.705810546875; knn_power_latent_mse=1935.891845703125; phase_k=1; power_components=16
